Region,count,mean,std,min,25%,50%,75%,max
0x20000000,3610.0,4.6874661855090025,0.3247144019894883,4.3701171875,4.5654296875,4.638671875,4.7119140625,6.689453125
0x20000200,3599.0,13.741033479351904,0.594567150305253,10.3515625,13.720703125,13.720703125,13.720703125,19.43359375
0x20000400,3597.0,32.10553065054212,1.3439664840780867,19.091796875,32.177734375,32.177734375,32.177734375,44.2138671875
0x20000600,3593.0,39.68434852708391,1.2649669234005172,21.97265625,39.35546875,39.697265625,40.0390625,44.0185546875
0x20000800,3593.0,49.378647500347896,1.7315936438599702,33.59375,49.0234375,49.5849609375,50.146484375,52.2705078125
0x20000a00,3592.0,49.428974652874444,1.4716253673444222,41.0400390625,48.9013671875,49.560546875,50.1953125,52.3193359375
0x20000c00,3589.0,49.463353192915854,1.4517792135019294,41.9189453125,49.12109375,49.70703125,50.1953125,52.8076171875
0x20000e00,3590.0,49.52293289737117,1.187415479946345,43.115234375,49.0478515625,49.6337890625,50.1708984375,52.1240234375
0x20001000,3587.0,49.39016571342696,1.3352837745489214,40.8447265625,48.9501953125,49.560546875,50.1220703125,52.001953125
0x20001200,3586.0,49.48571157801171,1.5505768461202958,41.552734375,48.974609375,49.658203125,50.29296875,52.587890625
0x20001400,3586.0,49.40479659395915,1.3675645828556273,42.626953125,48.9990234375,49.560546875,50.09765625,52.1728515625
0x20001600,3586.0,49.38372533812047,1.3757330120398668,41.9677734375,48.8037109375,49.4873046875,50.1708984375,52.63671875
0x20001800,3585.0,49.65385830718271,1.62759127005632,41.015625,49.12109375,49.8291015625,50.537109375,53.22265625
0x20001a00,3584.0,49.45448466709682,1.6418281585502128,39.9169921875,48.9990234375,49.6826171875,50.3173828125,52.099609375
0x20001c00,3584.0,49.419403076171875,1.6054276942656673,41.015625,48.9013671875,49.5849609375,50.2197265625,52.2216796875
0x20001e00,3584.0,49.609674726213726,1.4452175597662207,42.578125,49.114990234375,49.8046875,50.439453125,52.587890625
0x20002000,3583.0,49.44067062561052,1.2286632728461546,43.1396484375,48.73046875,49.609375,50.2197265625,52.05078125
0x20002200,3582.0,49.324796454058486,1.2511561590234646,43.1396484375,48.876953125,49.3896484375,49.9755859375,52.34375
0x20002400,3581.0,49.46676305937587,1.3921912650050046,37.6953125,49.072265625,49.5849609375,50.1220703125,52.783203125
0x20002600,3581.0,49.29107862023527,2.177670145692234,36.328125,49.0234375,49.5361328125,50.048828125,52.44140625
0x20002800,3581.0,49.2767751566427,1.9238798603378924,35.8642578125,48.92578125,49.4873046875,50.0732421875,52.5146484375
0x20002a00,3581.0,49.36541845198618,1.508653084091039,37.744140625,48.9990234375,49.5361328125,50.1220703125,51.8798828125
0x20002c00,3581.0,49.36141648195336,2.214297957545941,36.6455078125,48.9501953125,49.560546875,50.2685546875,52.3681640625
0x20002e00,3581.0,49.47090138273178,1.6062640477403594,37.40234375,48.9990234375,49.70703125,50.29296875,51.9775390625
0x20003000,3581.0,49.57093018055362,1.7886448919627815,37.9150390625,49.12109375,49.8779296875,50.439453125,52.44140625
0x20003200,3581.0,49.41776449272201,2.1395015788346865,37.060546875,49.12109375,49.70703125,50.1953125,52.6611328125
0x20003400,3581.0,49.2554017732477,1.5219139436005897,39.1357421875,48.8525390625,49.4384765625,50.048828125,51.9287109375
0x20003600,3581.0,49.60570709560877,1.6733675060783288,36.42578125,49.2431640625,49.8046875,50.4150390625,52.9541015625
0x20003800,3581.0,49.45185964116169,1.83164293738595,18.5302734375,49.0478515625,49.560546875,50.341796875,52.4658203125
0x20003a00,3580.0,49.19376991314595,2.883224273589927,23.3642578125,48.9013671875,49.6337890625,50.1953125,52.1728515625
0x20003c00,3580.0,49.34041795783869,1.8380922513536302,15.9423828125,48.92578125,49.5361328125,50.1953125,52.0751953125
0x20003e00,3580.0,49.70498537884078,1.70548902633943,21.5576171875,49.1943359375,49.7314453125,50.3662109375,52.294921875
0x20004000,3580.0,49.629015363128495,0.9022549928146899,46.337890625,49.0478515625,49.70703125,50.244140625,52.3681640625
0x20004200,3579.0,49.56637923695516,0.9203291703602233,46.6796875,48.9501953125,49.5849609375,50.1708984375,52.294921875
0x20004400,3579.0,49.468204554781366,0.8203675892446209,46.8994140625,48.9013671875,49.4384765625,50.0,52.294921875
0x20004600,3579.0,49.639389494272145,0.8258441213780219,47.021484375,49.0966796875,49.6337890625,50.1708984375,51.8798828125
0x20004800,3579.0,49.45008671460254,0.769849666320999,46.8994140625,48.92578125,49.462890625,49.9755859375,51.708984375
0x20004a00,3579.0,49.62436178270816,0.8174709473254156,47.2412109375,49.0966796875,49.6337890625,50.146484375,52.001953125
0x20004c00,3579.0,49.586441197785696,0.8760722367461456,47.3388671875,48.974609375,49.5849609375,50.244140625,52.294921875
0x20004e00,3579.0,49.586141052842976,0.8629084816944642,46.4111328125,48.9990234375,49.6826171875,50.1708984375,51.9287109375
0x20005000,3579.0,49.62875481323344,0.8123412780226161,47.2900390625,49.0966796875,49.6826171875,50.1220703125,52.5390625
0x20005200,3579.0,49.382929283668624,0.8392698970786225,46.484375,48.828125,49.365234375,49.951171875,52.0751953125
0x20005400,3579.0,49.73913993739522,0.8442685229112299,47.3876953125,49.12109375,49.609375,50.29296875,52.4658203125
0x20005600,3578.0,49.60665247039198,0.8444078427565044,46.9482421875,48.9990234375,49.658203125,50.1708984375,51.8310546875
